"x1","x2","Y"
-0.948983783833683,0.365313614718616,1
-0.306638509500772,-0.680150411557406,-1
-0.877500345930457,-0.739625691436231,1
0.367504118941724,-0.255824885796756,-1
0.5345075475052,-0.898284047842026,-1
-0.79178486764431,-0.695133434608579,-1
-0.218666598200798,0.0285480781458318,1
-0.461390967015177,0.631976550444961,1
-0.902335751801729,-0.760667198803276,1
0.804015336092561,-0.703031159937382,-1
-0.198203961364925,0.562331540510058,1
-0.922689277678728,0.281575249042362,1
-0.969723478890955,-0.519153355620801,1
-0.13260934734717,0.607173973694444,1
0.44270250108093,0.71932576270774,1
0.958199483342469,0.193516584578902,-1
0.471708997618407,-0.847611895762384,-1
-0.396807567216456,0.206621226854622,1
0.730228774715215,0.479127131868154,-1
0.5474489829503,0.548592420294881,1
0.249060726724565,0.760409296490252,1
0.869576435536146,0.679816161282361,-1
0.824816177133471,-0.273828603792936,-1
0.415952903684229,0.1207429273054,-1
0.661008120980114,0.713153750170022,1
0.191199690569192,0.491374150384218,1
0.314932028762996,0.382615131791681,1
-0.60412182752043,-0.569573455490172,-1
-0.383318725973368,0.165792150888592,1
0.710340806748718,-0.529723611660302,-1
-0.747654895763844,0.858531587291509,1
-0.696530234534293,0.0200048452243209,1
0.762479917611927,-0.0858404627069831,-1
-0.800941645167768,-0.428153926506639,1
-0.151846303604543,0.365299445576966,1
-0.483551186975092,-0.246349559631199,-1
-0.971681120339781,0.496271691750735,1
0.950832827016711,0.708773885387927,-1
-0.264975441154093,-0.246840175241232,-1
-0.238457640167326,0.43070545932278,1
-0.0413540126755834,-0.688799160532653,-1
-0.74816128378734,0.946264937985688,1
-0.220407385844737,-0.684093025512993,-1
0.11047004815191,-0.0404909891076386,-1
-0.546054618898779,-0.858355523552746,-1
0.643649767618626,0.766459592152387,1
0.562939316034317,0.743764462415129,1
-0.344111709855497,-0.0425178078003228,1
-0.176829260308295,-0.0443132477812469,1
-0.949426016304642,-0.744599163997918,1
-0.112653576303273,-0.428205333650112,-1
-0.42128538666293,-0.9894830561243,-1
-0.137528267223388,0.501419130247086,1
0.542979047168046,0.666157518513501,1
0.997011163271964,-0.0538758421316743,-1
0.634309272281826,-0.542742744553834,-1
0.185810449533165,0.436335693579167,1
0.861099921166897,-0.141025323886424,-1
0.2571757347323,-0.278947523329407,-1
0.138646170496941,0.776459649670869,1
0.8985964381136,-0.375499132089317,-1
-0.821302492637187,-0.786687138490379,-1
-0.683245268184692,0.0264943498186767,1
-0.755390022415668,-0.309149998240173,1
0.155568610411137,-0.585322575643659,-1
0.0304981735534966,-0.797882538288832,-1
0.737670333124697,-0.752446887549013,-1
-0.47216044459492,0.936939511448145,1
-0.00954242795705795,-0.270149426534772,-1
-0.144666145090014,0.549810060765594,1
-0.889606081880629,0.702134874649346,1
-0.564671388361603,-0.790513066574931,-1
